iter	Logloss
0	0.6814380419
1	0.6673009127
2	0.6565567788
3	0.6477803517
4	0.6362351036
5	0.6275237974
6	0.6191724166
7	0.6093123088
8	0.6029593615
9	0.5931670665
10	0.5852700934
11	0.5812972542
12	0.5765939275
13	0.5699461189
14	0.5657140163
15	0.5600571479
16	0.5572119581
17	0.5534910103
18	0.5512875613
19	0.5423062751
20	0.5394930929
21	0.5359600679
22	0.5309740257
23	0.5287633789
24	0.5259754329
25	0.5236983559
26	0.5175561914
27	0.5121518806
28	0.5102899227
29	0.5075265506
30	0.5024053771
31	0.4995738628
32	0.4968686004
33	0.4947667333
34	0.487431343
35	0.4849061268
36	0.4825255642
37	0.4803520869
38	0.4777982511
39	0.476669414
40	0.4727434497
41	0.4690871721
42	0.4681310477
43	0.4655453808
44	0.4627562683
45	0.4616326988
46	0.4602090899
47	0.4588701735
48	0.4575917937
49	0.4553787424
50	0.4535660182
51	0.4522020624
52	0.451850761
53	0.4489496029
54	0.4458971284
55	0.4443356247
56	0.441710252
57	0.4400468111
58	0.4395042782
59	0.4384690328
60	0.4375908181
61	0.4364435822
62	0.4358118964
63	0.4341302002
64	0.4332487044
65	0.4326488343
66	0.4318255937
67	0.4308068533
68	0.4300394831
69	0.4287763692
70	0.4281590841
71	0.4267756719
72	0.425530227
73	0.4241238467
74	0.4233221852
75	0.4224990377
76	0.4217351545
77	0.4195055743
78	0.4159058194
79	0.41509979
80	0.4137437841
81	0.4124956208
82	0.4116024373
83	0.4107392637
84	0.4106805542
85	0.4098449271
86	0.4095349155
87	0.4077119157
88	0.404033213
89	0.4029087103
90	0.4022350534
91	0.4017252319
92	0.4011529756
93	0.4008164567
94	0.3988733746
95	0.3985005113
96	0.39706683
97	0.3959197098
98	0.3953679523
99	0.3946352373
100	0.392162687
101	0.3918474012
102	0.391350121
103	0.3904999735
104	0.3899784746
105	0.3895281868
106	0.3889531261
107	0.3876994354
108	0.3870682221
109	0.3868744818
110	0.3864171127
111	0.385398303
112	0.3848117768
113	0.3845748724
114	0.3841391767
115	0.3837652819
116	0.3834000918
117	0.3830415278
118	0.3825977288
119	0.3807684555
120	0.3796808087
121	0.3793068758
122	0.3785938007
123	0.3781111152
124	0.3775313706
125	0.3763662048
126	0.376098207
127	0.3756127828
128	0.3751893979
129	0.3746380595
130	0.3730306628
131	0.3717620438
132	0.3712268942
133	0.3706625021
134	0.3706625013
135	0.369326846
136	0.3683546144
137	0.3679220131
138	0.3672758298
139	0.3660951423
140	0.3644821316
141	0.3641008521
142	0.3635639009
143	0.3631297073
144	0.3622990329
145	0.3614643283
146	0.3610989674
147	0.3605371107
148	0.3593345659
149	0.3582038682
150	0.3576536833
151	0.3571906911
152	0.3570036985
153	0.3564256963
154	0.3556963985
155	0.3545392121
156	0.354043046
157	0.3534047311
158	0.3525694663
159	0.3515459394
160	0.3504843052
161	0.3498675706
162	0.3491924531
163	0.3484413524
164	0.3475797633
165	0.3472218938
166	0.3457693865
167	0.343976849
168	0.3427427653
169	0.3425098076
170	0.3420580952
171	0.3409041267
172	0.3403943831
173	0.3391910818
174	0.3378968681
175	0.336544709
176	0.3356657566
177	0.3354158797
178	0.3346727514
179	0.3343901388
180	0.3341520763
181	0.3331491313
182	0.3324484605
183	0.3314130058
184	0.3310032502
185	0.3305759646
186	0.3296815872
187	0.3290426834
188	0.3283026674
189	0.3278593203
190	0.3274459293
191	0.3265722336
192	0.3253951661
193	0.3248337899
194	0.3242771784
195	0.3239394591
196	0.3236831438
197	0.3231996814
198	0.3222210569
199	0.3217780056
200	0.3208335386
201	0.3196558449
202	0.3192522025
203	0.3182979284
204	0.3175555727
205	0.3168801708
206	0.3166969774
207	0.3164076515
208	0.3159634556
209	0.3153615405
210	0.3148933673
211	0.3145897463
212	0.314377461
213	0.31356456
214	0.3130800059
215	0.3124000885
216	0.3121543212
217	0.3116323072
218	0.3112106366
219	0.3107460737
220	0.3103066805
221	0.3098006956
222	0.3094029152
223	0.3089786277
224	0.3084913022
225	0.3081540661
226	0.3075914408
227	0.3071814559
228	0.3066742433
229	0.3059063212
230	0.3054576425
231	0.3052165041
232	0.3048620936
233	0.3043232431
234	0.3036935129
235	0.3032258289
236	0.3028699822
237	0.3027850207
238	0.3025083331
239	0.3022633467
240	0.3019648707
241	0.3016256701
242	0.3013883284
243	0.3009024092
244	0.3003201261
245	0.2999127571
246	0.2996614946
247	0.2993387182
248	0.2988741907
249	0.2986430566
250	0.298373632
251	0.2980476203
252	0.2977668412
253	0.2971273387
254	0.2968855632
255	0.296576753
256	0.2963377827
257	0.2961006454
258	0.295619469
259	0.2950848767
260	0.2945065006
261	0.2940581408
262	0.2936999018
263	0.2934216345
264	0.2932035312
265	0.2929035123
266	0.2925670471
267	0.2919331623
268	0.2915146518
269	0.2908924572
270	0.2908672264
271	0.2905995193
272	0.2901691494
273	0.2894462345
274	0.2890286973
275	0.2886422194
276	0.2882864168
277	0.2881614829
278	0.2879294173
279	0.2873286233
